Car_Type,Category
Buggies,Buggies
Classic Muscle,Muscle
Classic Racers,Track Toys
Classic Rally,Rally
Classic Sports Cars,Sports Cars
Cult Cars,Fun Stuff
Drift Cars,Track Toys
Eclectics,Fun Stuff
Extreme Track Toys,Track Toys
GT Cars,GT
Hot Hatch,Hot Hatch
Hypercars,Supercars
Modern Muscle,Muscle
Modern Rally,Rally
Modern Sports Cars,Sports Cars
Modern Super Saloons,Saloons
Modern Supercars,Supercars
Offroad,Offroad
Pickups & 4x4's,Offroad
Rally Monsters,Rally
Rare Classics,Fun Stuff
Retro Hot Hatch,Hot Hatch
Retro Muscle,Muscle
Retro Racers,Track Toys
Retro Rally,Rally
Retro Sports Cars,Sports Cars
Retro Saloons,Saloons
Retro Supercars,Supercars
Rods and Customs,Fun Stuff
Sports Utility Heroes,Offroad
Super GT,GT
Super Hot Hatch,Hot Hatch
Track Toys,Track Toys
UTVs,Buggies
Unlimited Buggies,Buggies
Unlimited Offroad,Offroad
Vans and Utility,Offroad
