Make,Car Name,Car Type,Car Class,Country,Collection,Add-Ons
Abarth,1968 Abarth 595 esseesse,Cult Cars,100 D,Italy,"Autoshow, Wheelspin",
Abarth,1980 Abarth Fiat 131,Classic Rally,399 D,Italy,"Autoshow, Wheelspin",
Abarth,2016 Abarth 695 Biposto,Hot Hatch,540 B,Italy,Seasonal,
Acura,2001 Acura Integra Type R,Retro Hot Hatch,471 C,USA,"Autoshow, Wheelspin",
Acura,2002 Acura RSX Type S,Retro Hot Hatch,462 C,USA,"Autoshow, Wheelspin",
Acura,2022 Acura NSX Type S,Modern Supercars,734 S1,USA,Seasonal,
Acura,2023 Acura Integra A-Spec,Hot Hatch,484 C,USA,"Autoshow, Wheelspin",
Alfa Romeo,1965 Alfa Romeo Giulia Sprint GTA Stradale,Rare Classics,379 D,Italy,"Autoshow, Wheelspin",
Alfa Romeo,1965 Alfa Romeo Giulia TZ2,Classic Racers,532 B,Italy,"Collection Journal, Seasonal",
Alfa Romeo,1968 Alfa Romeo 33 Stradale,Classic Racers,593 B,Italy,"Autoshow, Wheelspin",
Alfa Romeo,1990 Alfa Romeo SE 048SP,Retro Racers,978 R,Italy,Autoshow DLC,Italian Passion Car Pack
Alfa Romeo,1992 Alfa Romeo 155 Q4,Retro Super Saloons,439 C,Italy,Autoshow,
Alfa Romeo,2007 Alfa Romeo 8C Competizione,GT Cars,635 A,Italy,"Autoshow, Wheelspin",
Alfa Romeo,2014 Alfa Romeo 4C,Modern Sports Cars,644 A,Italy,Autoshow,
Alfa Romeo,2017 Alfa Romeo Giulia Quadrifoglio,Modern Super Saloons,667 A,Italy,"Autoshow, Wheelspin",
Alfa Romeo,2021 Alfa Romeo Giulia GTAm,Modern Super Saloons,711 S1,Italy,Autoshow DLC,Italian Passion Car Pack
Alumicraft,2015 Alumicraft Class 10 Race Car,Unlimited Buggies,532 B,USA,"Autoshow, Wheelspin",
Alumicraft,2021 Alumicraft #122 Class 1 Buggy,Unlimited Buggies,571 B,USA,"Autoshow, Wheelspin",
Alumicraft,2022 Alumicraft #6165 Trick Truck,Unlimited Offroad,485 C,USA,"Autoshow, Wheelspin",
AMG Transport Dynamics,2554 AMG Transport Dynamics M12S Warthog CST,Unlimited Offroad,663 A,USA,"Autoshow, Collection Journal",
Apollo,2019 Apollo Intensa Emozione,Extreme Track Toys,916 R,Germany,"Wheelspin, Seasonal",
Ariel,2013 Ariel Atom 500 V8,Extreme Track Toys,825 S2,UK,"Autoshow, Wheelspin",
Ariel,2016 Ariel Nomad,Unlimited Buggies,601 A,UK,"Autoshow, Collection Journal, Wheelspin",
Aston Martin,1964 Aston Martin DB5,Rare Classics,416 C,UK,Autoshow,
Aston Martin,2003 Aston Martin DB7 GT,Retro Sports Cars,566 B,UK,Autoshow DLC,Car Pass
Aston Martin,2016 Aston Martin Vulcan,Extreme Track Toys,884 S2,UK,"Autoshow, Wheelspin, Loyalty",
Aston Martin,2017 Aston Martin DB11,Super GT,679 A,UK,"Autoshow, Wheelspin",
Aston Martin,2017 Aston Martin Vulcan AMR Pro,Extreme Track Toys,898 S2,UK,"Autoshow, Wheelspin",
Aston Martin,2019 Aston Martin DBS Superleggera,Super GT,736 S1,UK,"Wheelspin, Seasonal",
Aston Martin,2019 Aston Martin Valhalla Concept Car,Hypercars,960 R,UK,"Wheelspin, Seasonal",
Aston Martin,2019 Aston Martin Vantage,GT Cars,696 A,UK,Autoshow,
Aston Martin,2021 Aston Martin DBX,Sports Utility Heroes,618 A,UK,Seasonal,
Aston Martin,2022 Aston Martin Valkyrie AMR Pro,Extreme Track Toys,989 R,UK,"Autoshow, Collection Journal, Wheelspin",
Aston Martin,2023 Aston Martin Valkyrie,Hypercars,924 R,UK,"Autoshow, Wheelspin",
Audi,1984 Audi Sport quattro,Retro Rally,526 B,Germany,"Wheelspin, Seasonal",
Audi,1986 Audi #2 Audi Sport quattro S1,Rally Monsters,726 S1,Germany,"Autoshow, Wheelspin",
Audi,2001 Audi RS 4 Avant,Retro Super Saloons,544 B,Germany,"Autoshow, Wheelspin",
Audi,2003 Audi RS 6,Retro Super Saloons,556 B,Germany,"Autoshow, Wheelspin",
Audi,2006 Audi RS 4,Modern Super Saloons,593 B,Germany,"Autoshow, Wheelspin",
Audi,2009 Audi R8 LMS,Extreme Track Toys,810 S2,Germany,"Autoshow, Wheelspin",
Audi,2009 Audi RS 6,Modern Super Saloons,598 B,Germany,"Autoshow, Wheelspin",
Audi,2010 Audi TT RS Coupé,Modern Sports Cars,593 B,Germany,"Autoshow, Wheelspin",
Audi,2011 Audi RS 3 Sportback,Super Hot Hatch,565 B,Germany,"Autoshow, Wheelspin",
Audi,2011 Audi RS 5 Coupé,Modern Super Saloons,613 A,Germany,"Autoshow, Wheelspin",
Audi,2013 Audi R8 Coupé V10 plus 5.2 FSI quattro,Modern Supercars,694 A,Germany,"Collection Journal, Seasonal",
Audi,2013 Audi RS 4 Avant,Modern Super Saloons,607 A,Germany,"Autoshow, Wheelspin",
Audi,2013 Audi RS 7 Sportback,Modern Super Saloons,619 A,Germany,"Autoshow, Wheelspin",
Audi,2015 Audi RS 6 Avant,Modern Super Saloons,640 A,Germany,"Autoshow, Wheelspin",
Audi,2015 Audi S1,Hot Hatch,527 B,Germany,"Autoshow, Wheelspin",
Audi,2016 Audi R8 V10 plus,Modern Supercars,731 S1,Germany,"Autoshow, Wheelspin",
Audi,2018 Audi RS 4 Avant,Modern Super Saloons,637 A,Germany,"Autoshow, Wheelspin",
Audi,2020 Audi R8 V10 performance,Modern Supercars,738 S1,Germany,"Autoshow, Wheelspin",
Audi,2020 Audi RS 3 Sedan,Modern Super Saloons,617 A,Germany,"Autoshow, Wheelspin",
Audi,2021 Audi RS 6 Avant,Modern Super Saloons,650 A,Germany,"Autoshow, Wheelspin",
Audi,2021 Audi RS 7 Sportback,Modern Super Saloons,655 A,Germany,"Autoshow, Wheelspin",
Audi,2021 Audi RS e-tron GT,Modern Super Saloons,677 A,Germany,"Autoshow, Wheelspin",
Audi,2023 Audi R8 Coupé V10 GT RWD,Modern Supercars,769 S1,Germany,Autoshow DLC,Car Pass
Austin-Healey,1965 Austin-Healey 3000 MkIII,Classic Sports Cars,352 D,UK,"Autoshow, Wheelspin",
Autozam,1993 Autozam AZ-1,Eclectic Domestics,342 D,Japan,"Autoshow, Wheelspin",
BAC,2014 BAC Mono,Track Toys,766 S1,UK,"Autoshow, Wheelspin",
Bentley,2016 Bentley Bentayga,Sports Utility Heroes,612 A,UK,"Wheelspin, Seasonal",
Bentley,2021 Bentley Continental GT Convertible,GT Cars,649 A,UK,"Autoshow, Collection Journal, Wheelspin",
BMW,1957 BMW Isetta 300 Export,Cult Cars,100 D,Germany,"Autoshow, Wheelspin",
BMW,1973 BMW 2002 Turbo,Classic Sports Cars,424 C,Germany,"Autoshow, Wheelspin",
BMW,1981 BMW M1,Retro Supercars,510 B,Germany,Collection Journal,
BMW,1988 BMW M3,Retro Super Saloons,474 C,Germany,"Autoshow, Wheelspin",
BMW,1988 BMW M5,Retro Super Saloons,470 C,Germany,"Autoshow, Wheelspin",
BMW,1995 BMW 850CSi,Retro Sports Cars,493 C,Germany,"Autoshow, Wheelspin",
BMW,1995 BMW M5,Retro Super Saloons,516 B,Germany,"Autoshow, Wheelspin",
BMW,1997 BMW M3,Retro Super Saloons,549 B,Germany,"Autoshow, Wheelspin",
BMW,2003 BMW M5,Retro Super Saloons,580 B,Germany,"Autoshow, Wheelspin",
BMW,2005 BMW M3,Retro Super Saloons,554 B,Germany,"Autoshow, Wheelspin",
BMW,2008 BMW M3,Modern Super Saloons,608 A,Germany,"Autoshow, Wheelspin",
BMW,2008 BMW Z4 M Coupé,Modern Sports Cars,579 B,Germany,"Autoshow, Wheelspin",
BMW,2009 BMW M5,Modern Super Saloons,595 B,Germany,"Autoshow, Wheelspin",
BMW,2010 BMW M3 GTS,Track Toys,678 A,Germany,"Autoshow, Wheelspin",
BMW,2011 BMW X5 M,Sports Utility Heroes,546 B,Germany,"Autoshow, Wheelspin",
BMW,2012 BMW M5,Modern Super Saloons,652 A,Germany,"Autoshow, Wheelspin",
BMW,2014 BMW M4 Coupé,Modern Super Saloons,679 A,Germany,"Autoshow, Wheelspin",
BMW,2015 BMW i8,Modern Sports Cars,665 A,Germany,"Autoshow, Wheelspin",
BMW,2016 BMW M4 GTS,Track Toys,711 S1,Germany,"Autoshow, Wheelspin",
BMW,2019 BMW Z4 Roadster,Modern Sports Cars,634 A,Germany,"Autoshow, Collection Journal, Wheelspin",
BMW,2020 BMW M2 Competition Coupé,Modern Super Saloons,656 A,Germany,"Wheelspin, Seasonal",
BMW,2020 BMW M8 Competition Coupé,GT Cars,684 A,Germany,"Autoshow, Wheelspin",
BMW,2021 BMW M4 Competition Coupé,Modern Super Saloons,666 A,Germany,"Autoshow, Wheelspin",
BMW,2021 BMW M4 Competition Coupé Welcome Pack,Modern Super Saloons,800 S1,Germany,Autoshow DLC,Welcome Pack
BMW,2022 BMW iX xDrive50,Sports Utility Heroes,595 B,Germany,"Autoshow, Wheelspin",
BMW,2022 BMW M5 CS,Modern Super Saloons,731 S1,Germany,"Autoshow, Wheelspin",
BMW,2023 BMW M2,Modern Super Saloons,647 A,Germany,"Autoshow, Wheelspin",
BMW,2023 BMW M2 Forza Edition,Track Toys,700 A,Germany,"Collection Journal, Seasonal",
BMW,2024 BMW X6 M Competition,Sports Utility Heroes,672 A,Germany,"Autoshow, Wheelspin",
Buick,1987 Buick Regal GNX,Retro Muscle,454 C,USA,Autoshow,
Cadillac,2013 Cadillac XTS Limousine,Modern Super Saloons,381 D,USA,"Autoshow, Wheelspin",
Cadillac,2016 Cadillac ATS-V,Modern Muscle,601 A,USA,"Autoshow, Wheelspin",
Cadillac,2016 Cadillac CTS-V Sedan,Modern Muscle,648 A,USA,"Autoshow, Wheelspin",
Cadillac,2022 Cadillac CT4-V Blackwing,Modern Muscle,650 A,USA,"Autoshow, Wheelspin",
Cadillac,2022 Cadillac CT5-V Blackwing,Modern Muscle,701 S1,USA,"Autoshow, Wheelspin",
Can-Am,2018 Can-Am Maverick X RS Turbo R,UTV's,568 B,Canada,"Autoshow, Wheelspin",
Casey Currie Motorsports,2019 Casey Currie Motorsports #4402 Ultra 4 'Trophy Jeep',Unlimited Offroad,641 A,USA,"Wheelspin, Seasonal",
Chevrolet,1953 Chevrolet Corvette,Classic Sports Cars,270 D,USA,"Autoshow, Wheelspin",
Chevrolet,1955 Chevrolet 150 Utility Sedan,Rods and Customs,221 D,USA,"Autoshow, Wheelspin",
Chevrolet,1957 Chevrolet Bel Air,Rods and Customs,320 D,USA,"Autoshow, Wheelspin",
Chevrolet,1960 Chevrolet Corvette,Classic Sports Cars,428 C,USA,"Wheelspin, Seasonal",
Chevrolet,1964 Chevrolet Impala Super Sport 409,Rods and Customs,427 C,USA,"Autoshow, Wheelspin",
Chevrolet,1967 Chevrolet Corvette Stingray 427,Classic Muscle,510 B,USA,"Collection Journal, Seasonal",
Chevrolet,1969 Chevrolet Camaro Super Sport Coupe,Classic Muscle,471 C,USA,"Autoshow, Wheelspin",
Chevrolet,1969 Chevrolet Nova Super Sport 396,Classic Muscle,431 C,USA,"Autoshow, Wheelspin",
Chevrolet,1970 Chevrolet Camaro Z28,Classic Muscle,430 C,USA,"Autoshow, Wheelspin",
Chevrolet,1970 Chevrolet Chevelle Super Sport 454,Classic Muscle,424 C,USA,"Autoshow, Wheelspin",
Chevrolet,1970 Chevrolet Corvette ZR-1,Classic Muscle,497 C,USA,"Autoshow, Wheelspin",
Chevrolet,1970 Chevrolet El Camino Super Sport 454,Utility Heroes,430 C,USA,"Autoshow, Wheelspin",
Chevrolet,1972 Chevrolet K-10 Custom,Pickups & 4x4's,268 D,USA,"Autoshow, Wheelspin",
Chevrolet,1979 Chevrolet Camaro Z28,Classic Muscle,364 D,USA,"Autoshow, Wheelspin",
Chevrolet,1988 Chevrolet Monte Carlo Super Sport,Retro Muscle,282 D,USA,"Autoshow, Wheelspin",
Chevrolet,1995 Chevrolet Corvette ZR-1,Retro Muscle,576 B,USA,"Autoshow, Wheelspin",
Chevrolet,1996 Chevrolet Impala Super Sport,Retro Muscle,407 C,USA,"Autoshow, Wheelspin",
Chevrolet,2002 Chevrolet Corvette Z06,Retro Muscle,602 A,USA,"Autoshow, Wheelspin",
Chevrolet,2009 Chevrolet Corvette ZR1,Modern Muscle,712 S1,USA,"Autoshow, Wheelspin",
Chevrolet,2015 Chevrolet Camaro Z/28,Track Toys,695 A,USA,"Autoshow, Wheelspin",
Chevrolet,2015 Chevrolet Corvette Z06,Modern Muscle,755 S1,USA,"Autoshow, Wheelspin",
Chevrolet,2017 Chevrolet Camaro ZL1,Modern Muscle,727 S1,USA,"Autoshow, Wheelspin",
Chevrolet,2018 Chevrolet Camaro ZL1 1LE,Track Toys,728 S1,USA,"Autoshow, Wheelspin",
Chevrolet,2019 Chevrolet Corvette ZR1,Track Toys,778 S1,USA,"Wheelspin, Seasonal",
Chevrolet,2020 Chevrolet Corvette Stingray Coupe,Modern Supercars,700 A,USA,"Autoshow, Wheelspin",
Chevrolet,2020 Chevrolet Silverado LT Trail Boss,Pickups & 4x4's,449 C,USA,"Autoshow, Wheelspin",
Chevrolet,2023 Chevrolet Corvette Z06,Track Toys,763 S1,USA,"Autoshow, Wheelspin",
Chevrolet,2024 Chevrolet Corvette E-Ray,Modern Supercars,737 S1,USA,"Autoshow, Wheelspin, Loyalty",
Datsun,1969 Datsun 2000 Roadster,Classic Sports Cars,323 D,Japan,Seasonal,
Datsun,1970 Datsun 510,Classic Sports Cars,143 D,Japan,"Autoshow, Wheelspin",
Datsun,1972 Datsun #269 Attacking the Clock Racing 240Z 'All Carbon Hill Climb Beast',Extreme Track Toys,951 R,Japan,Autoshow DLC,Car Pass
DeBerti,2013 DeBerti Jeep Wrangler Unlimited,Unlimited Offroad,645 A,USA,"Autoshow, Wheelspin",
DeBerti,2018 DeBerti Chevrolet Silverado 1500 Drift Truck,Drift Cars,707 S1,USA,"Autoshow, Wheelspin",
DeBerti,2019 DeBerti Ford Super Duty F-250 Lariat 'Transformer',Unlimited Offroad,548 B,USA,"Autoshow, Wheelspin",
DeBerti,2019 DeBerti Toyota Tacoma TRD ‘The Performance Truck’,Drift Cars,717 S1,USA,"Autoshow, Wheelspin",
DeLorean,1982 DeLorean DMC-12,Retro Sports Cars,357 D,USA,"Autoshow, Wheelspin",
Dodge,1968 Dodge Dart HEMI Super Stock,Classic Muscle,540 B,USA,"Wheelspin, Seasonal",
Dodge,1969 Dodge Charger Daytona HEMI,Classic Muscle,479 C,USA,"Autoshow, Collection Journal, Wheelspin",
Dodge,1969 Dodge Charger R/T,Classic Muscle,417 C,USA,Collection Journal,
Dodge,1970 Dodge Challenger R/T,Classic Muscle,443 C,USA,"Wheelspin, Seasonal",
Dodge,1970 Dodge Coronet Super Bee,Classic Muscle,455 C,USA,"Autoshow, Wheelspin",
Dodge,1999 Dodge Viper GTS ACR,Retro Muscle,598 B,USA,Autoshow,
Dodge,1999 Dodge Viper GTS ACR Forza Edition,Unlimited Offroad,700 A,USA,Autoshow DLC,VIP
Dodge,2006 Dodge Ram SRT-10,Modern Muscle,547 B,USA,Seasonal,
Dodge,2008 Dodge Viper SRT-10 ACR,Track Toys,735 S1,USA,"Autoshow, Wheelspin",
Dodge,2015 Dodge Challenger SRT Hellcat,Modern Muscle,631 A,USA,"Autoshow, Wheelspin",
Dodge,2015 Dodge Charger SRT Hellcat,Modern Muscle,637 A,USA,"Autoshow, Wheelspin",
Dodge,2016 Dodge Viper ACR,Track Toys,786 S1,USA,"Wheelspin, Seasonal",
Dodge,2018 Dodge Challenger SRT Demon,Modern Muscle,678 A,USA,"Autoshow, Collection Journal, Wheelspin",
Dodge,2021 Dodge Durango SRT Hellcat,Sports Utility Heroes,628 A,USA,"Collection Journal, Seasonal",
Dodge,2022 Dodge Challenger SRT Super Stock,Modern Muscle,695 A,USA,"Autoshow, Wheelspin",
