Name,Type
River Split,Speed Trap
Tokyo City Run-Up,Speed Trap
Akihabara Straight,Speed Trap
Lakeside Valley,Speed Trap
Ito Straight,Speed Trap
Rainbow Run,Speed Trap
Crossover,Speed Trap
Flower Run,Speed Trap
Festival Line,Speed Trap
Takashiro Bridge,Speed Trap
Hirosaki Castle,Speed Trap
Highland Road,Speed Trap
Irabuohashi Bridge,Speed Trap
Shirakawa-go Straight,Speed Trap
Cropfields,Speed Trap
Bamboo Hilltop,Speed Trap
Ine Beach,Speed Trap
Airfield Runway,Speed Trap
Lake View,Speed Trap
Daikoku Parking Area,Speed Trap
Nangan Turn,Speed Trap
Main Street,Speed Trap
Cedar Woodland,Speed Trap
Snowbank,Speed Trap
Stadium Backroad,Speed Trap
Riverside,Speed Trap
Shibuya Crossing,Speed Trap
Izu Skyline,Speed Trap
Jodogahama Grove,Speed Trap
Island Road,Speed Trap
Highway View,Speed Zone
Festival Loop,Speed Zone
Matsumi Curve,Speed Zone
Ocean Highway,Speed Zone
Yahikoyama Curve,Speed Zone
Pylons,Speed Zone
Fujo Shibazakura,Speed Zone
Snow Slopes,Speed Zone
Temple Run-Up,Speed Zone
Kozokudoro,Speed Zone
Mountain Pass,Speed Zone
Tateyama Kurobe Alpine Route,Speed Zone
Tea Farm,Speed Zone
Hirosaki Tangle,Speed Zone
Okishinaimura,Speed Zone
Farmland Curve,Speed Zone
Yama Trail,Speed Zone
Hanado,Speed Zone
Tall Trees,Speed Zone
Deep Forest,Speed Zone
Minamino Curve,Speed Zone
Arashiyama Run,Speed Zone
Seaside Park,Speed Zone
Ine Backstreet,Speed Zone
Airport Grove,Speed Zone
Forest Straight,Speed Zone
Underground Tunnel,Speed Zone
City Sights,Speed Zone
Hakone Turns,Speed Zone
Coastal Cliffside,Speed Zone
Festival Leap,Danger Sign
Mt. Fuji View,Danger Sign
Rollercoaster Leap,Danger Sign
Clifftop Crest,Danger Sign
Highway Jump,Danger Sign
Stadium Jump,Danger Sign
Alpine Heights,Danger Sign
Highlands,Danger Sign
Airport Takeoff,Danger Sign
Circuit Leap,Danger Sign
Tea Farm,Danger Sign
Azure Dive,Danger Sign
Seaside Heights,Danger Sign
Shirakawa-go,Danger Sign
Railway Bridge,Danger Sign
Tokyo City Lookout,Danger Sign
Tokyo City Dockside,Danger Sign
Irokawa Launch,Danger Sign
Tanbo Launch,Danger Sign
Nangan Heights,Danger Sign
Bandai Azuma Skyline,Drift Zone
Inner City Run,Drift Zone
Minamino Horseshoe,Drift Zone
Red Road,Drift Zone
Kawazu Nanadaru Loop Bridge,Drift Zone
Nukabira Turn,Drift Zone
Shiro Switch,Drift Zone
Thunderbird,Drift Zone
Cedar Grove,Drift Zone
Mt. Haruna,Drift Zone
Turbine Trail,Drift Zone
Shirakawa Curves,Drift Zone
Hakone Nanamagari,Drift Zone
Seaside Trail,Drift Zone
Hairpin,Drift Zone
Kodachi Run,Drift Zone
Sunflower Fields,Drift Zone
River Run,Drift Zone
Tokyo City Docks,Drift Zone
Meoto Iwa Turn,Drift Zone
Bridge Underpasses,Trailblazer
Nachi Falls,Trailblazer
Kodachi Descent,Trailblazer
Mountain Descent,Trailblazer
Forest Cut-Through,Trailblazer
Ropeway Run,Trailblazer
Coastal Descent,Trailblazer
Kudarizaka,Trailblazer
Sekibe Kaijo,Trailblazer
On Par,Trailblazer
Horizon Kaido,Trailblazer
